Name,Age,Season,PA,wRC+,K%,BB%,ISO,PlayerId
"Jose Lobaton",26,2011,224,144.14430843687728,0.223214285,0.165178571,0.195652174,"4243"
"Jose Lobaton",27,2012,15,-66.22635840879231,0.333333333,0,0.066666667,"4243"
"Jose Lobaton",24,2009,148,74.96222872556898,0.236486486,0.067567567,0.112781955,"4243"
"Shane Robinson",23,2008,151,34.51676699275207,0.158940397,0.033112582,0.063829787,"4249"
"Shane Robinson",24,2009,393,79.73353878611184,0.106870229,0.071246819,0.113043478,"4249"
"Shane Robinson",25,2010,97,92.85964307833788,0.134020618,0.072164948,0.127906977,"4249"
"Shane Robinson",26,2011,193,108.18338747714267,0.082901554,0.098445595,0.155688623,"4249"
"Shane Robinson",27,2012,80,117.90584151892031,0.1875,0.1,0.114285714,"4249"
"Stephen Drew",29,2012,40,92.89753518759663,0.15,0.1,0.25,"4251"
"Micah Owings",28,2011,14,93.19573463332142,0.357142857,0.142857142,0.25,"4253"
"Scott Elarton",36,2012,16,-23.375915607276205,0.3125,0,0,"426"
"Brett Hayes",24,2008,126,79.97681218685328,0.182539682,0.031746031,0.172413793,"4293"
"Brett Hayes",25,2009,353,63.92189374173199,0.186968838,0.056657223,0.084112149,"4293"
"Brett Hayes",26,2010,63,51.36189394111865,0.142857142,0.031746031,0.101694915,"4293"
"Brett Hayes",28,2012,63,158.8841000591623,0.206349206,0.047619047,0.220338983,"4293"
"Terry Evans",29,2011,107,64.13538447995334,0.242990654,0.084112149,0.105263158,"4295"
"Terry Evans",30,2012,66,108.10323066692338,0.318181818,0.075757575,0.183333333,"4295"
"Terry Evans",25,2007,507,107.0298971423447,0.234714003,0.051282051,0.195789474,"4295"
"Terry Evans",26,2008,200,79.89375827629179,0.3,0.1,0.137931035,"4295"
"Terry Evans",27,2009,592,112.25941225657903,0.244932432,0.067567567,0.229477612,"4295"
"Terry Evans",28,2010,502,87.67636020569999,0.199203187,0.055776892,0.17167382,"4295"
"Matt Wieters",23,2009,163,146.71865425135323,0.184049079,0.122699386,0.19858156,"4298"
"Shawn Wooten",35,2008,147,55.03731160731476,0.204081632,0.102040816,0.083969465,"43"
"Shawn Wooten",34,2007,41,-1.5618046846373084,0.121951219,0.024390243,0.025641026,"43"
"Shawn Wooten",35,2008,37,33.876400310027286,0.189189189,0.108108108,0.121212121,"43"
