PlayerId,PA,K%,BB%,ISO,wRC+,Age,WAR,success
3312,200,0.09255078999999998,0.076749435,0.10379746799999999,118.51917742338148,23.0,21.161417209936253,1
3336,200,0.065134099,0.107279693,0.150442478,125.48277998296786,24.0,8.161326415408066,1
3353,200,0.273127753,0.10572687200000001,0.28,143.8557192841152,23.0,15.955749325166463,1
3361,200,0.118918918,0.11081081,0.18553459100000003,131.5907522915486,25.0,5.446406126585495,1
3366,200,0.137353433,0.05192629800000001,0.09566787,92.16089257996477,24.0,0.3983541378309288,0
3371,200,0.172638436,0.087947882,0.205992509,137.82687158237107,25.0,8.452955693174124,1
3373,200,0.264264264,0.111111111,0.16838488,106.0789366077764,24.0,1.3072304562636317,0
3376,200,0.181069958,0.069958847,0.21875,84.55659613066514,24.0,1.960833637684794,0
3388,200,0.11597374099999999,0.089715536,0.146039603,120.04051458751862,24.0,1.403425920099444,0
3390,200,0.178947368,0.063157894,0.210526316,93.72054575612933,24.0,2.2796476738168825,0
3395,200,0.115646258,0.183673469,0.088983051,123.25355423310856,24.0,7.081562279955189,1
3402,200,0.24047945119999997,0.09965753366000002,0.19259607548000002,121.36367065493155,24.18,-0.8784573179499002,0
3411,200,0.147147147,0.066066066,0.080536913,48.861933903310536,25.0,-3.7297325684026497,0
3417,200,0.14338204528,0.16869519763,0.16790907926000004,115.0075541298297,24.95,0.6297600322326763,0
3420,200,0.24787142817500002,0.10771428543499999,0.16619528633999997,116.65487597602946,25.855,-0.3947381636209809,0
3424,200,0.27090301,0.070234113,0.225092251,129.75933038646232,25.0,0.0143489730857775,0
3433,200,0.18234165000000002,0.071017274,0.224576271,144.9776154352163,24.0,4.447470596322737,0
3441,200,0.17824189480000002,0.13713216905,0.2702256831,190.91035232351234,25.35,1.6679261765558009,0
3443,200,0.132930513,0.039274924,0.109677419,104.37924105599548,25.0,-0.0039674117133605,0
3448,200,0.16483516399999998,0.06227106200000001,0.132,58.95023449042007,24.0,3.63773459764084,0
3473,200,0.215496368,0.104116222,0.320224719,143.62632904999873,21.0,35.84073628077902,1
3492,200,0.13641304307500002,0.066195651575,0.10009818295,61.858192009037374,24.275,-0.3811154278342054,0
3501,200,0.166197183,0.056338028,0.14953271,107.68464556030708,23.0,-1.4449643504921714,0
3533,200,0.295539033,0.096654275,0.134575569,99.96173979720923,24.0,-0.3946883607343041,0
3534,200,0.25413439562,0.10292710694,0.03970827906999999,32.4894494782177,23.59,-0.6712355450742324,0
3585,200,0.175398633,0.104783599,0.164948454,93.8990090520362,24.0,-0.0578413984751851,0
3622,200,0.18125,0.046875,0.117056856,73.88010275185495,25.0,-1.0826808371224026,0
3630,200,0.13546798,0.103448275,0.104815864,137.2173366014184,24.0,0.0032468184062599,0
3634,200,0.123529411,0.073529411,0.09539473699999998,88.02565303740936,25.0,-0.0338141047006805,0
3648,200,0.18825581331,0.07104651088999998,0.16465020196000002,81.67969318266002,24.345,8.112994922154835,1
3658,200,0.19366197099999996,0.11619718299999998,0.036585366,104.68335635464317,24.0,-0.4588213711217334,0
3669,200,0.24929411715999997,0.13982352884,0.13800759068,101.72264821633252,25.26,-2.63547322798013,0
3674,200,0.2748051947,0.11019480439999998,0.20340276720000003,95.05351056886887,25.9,0.0956747329112017,0
3707,200,0.20935412,0.118040089,0.298701298,169.57754146521387,24.0,15.847316912427786,1
3708,200,0.10460251,0.087866108,0.151658767,138.4130565087476,26.0,11.709282512952042,1
3711,200,0.170124481,0.09543568399999999,0.257142857,141.1488893330424,24.0,4.42399404759456,0
3714,200,0.177083333,0.079861111,0.201581028,100.67669332332072,24.0,-1.664577558448861,0
3726,200,0.107055961,0.0729927,0.087765958,107.63176468047968,24.0,0.2139684858025622,0
3728,200,0.262921348,0.051685392999999996,0.166666667,77.07423590648126,22.0,-0.1984409225784054,0
3734,200,0.134920634,0.10052909999999998,0.057926829,75.88850325030903,22.0,-0.113048924294714,0
